ID_UC_G0,GC_UCN_MAI_2025,GC_CNT_GAD_2025,GC_UCA_KM2_2025,GC_POP_TOT_2025,GC_DEV_WIG_2025,GC_DEV_USR_2025,IN_CIS_ENE_2020,IN_CIS_TRA_2020,IN_CIS_WAT_2020,IN_CIS_WAS_2020,IN_CIS_TEL_2020,IN_CIS_HEA_2020,IN_CIS_EDU_2020,IN_CIS_ALL_2020,IN_ROA_LEN_2024,IN_ROA_DEN_2024
1904,Qeysar,Afghanistan,9.00,115361.53,Low income,Central and Southern Asia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38975.91,0.00
1905,Balkh,Tajikistan,11.00,60611.70,Lower Middle,Central and Southern Asia,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.02,82770.49,0.01
1906,Ali Khel,Pakistan,19.00,61619.34,Lower Middle,Central and Southern Asia,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,42313.02,0.00
1907,Anjar,India,14.00,89662.51,Lower Middle,Central and Southern Asia,0.04,0.02,0.00,0.00,0.00,0.01,0.00,0.08,212757.76,0.02
1908,Kuytun,China,50.00,116459.55,Upper Middle,Eastern and South-Eastern Asia,0.06,0.02,0.00,0.00,0.00,0.00,0.00,0.09,366809.45,0.01
1909,Simara,Nepal,14.00,50738.05,Lower Middle,Central and Southern Asia,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.03,109119.91,0.01
1910,Badulla,Sri Lanka,21.00,71625.09,Lower Middle,Central and Southern Asia,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.04,171002.16,0.01
1911,Gangachara,Bangladesh,130.00,382037.18,Lower Middle,Central and Southern Asia,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.03,341269.66,0.00
1912,Taungup,Myanmar,7.00,70047.53,Lower Middle,Eastern and South-Eastern Asia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58655.52,0.01
1913,Suphan Buri,Thailand,28.00,89153.16,Upper Middle,Eastern and South-Eastern Asia,0.01,0.02,0.00,0.00,0.00,0.00,0.01,0.04,289085.66,0.01
1914,Berastagi,Indonesia,12.00,60117.00,Upper Middle,Eastern and South-Eastern Asia,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.02,113365.72,0.01
1915,Quốc Oai,Vietnam,24.00,109654.69,Lower Middle,Eastern and South-Eastern Asia,0.01,0.03,0.00,0.00,0.00,0.00,0.01,0.05,265994.08,0.01
1916,Putrajaya,Malaysia,39.00,109245.08,Upper Middle,Eastern and South-Eastern Asia,0.09,0.15,0.00,0.00,0.01,0.02,0.12,0.43,802922.62,0.02
1917,Taechon,North Korea,8.00,79121.97,Low income,Eastern and South-Eastern Asia,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,22037.32,0.00
1918,Wonju,South Korea,41.00,218040.87,High income,Eastern and South-Eastern Asia,0.01,0.03,0.00,0.00,0.00,0.01,0.02,0.08,805182.06,0.02
1919,Kaohsiung,Taiwan,372.00,2294771.92,High income,Eastern and South-Eastern Asia,0.06,0.05,0.01,0.00,0.00,0.01,0.06,0.21,6474771.91,0.02
1920,Ube,Japan,72.00,135055.52,High income,Eastern and South-Eastern Asia,0.04,0.03,0.00,0.00,0.00,0.00,0.01,0.09,1075005.82,0.01
1921,Bamban,Philippines,14.00,62803.81,Lower Middle,Eastern and South-Eastern Asia,0.03,0.04,0.00,0.00,0.06,0.01,0.01,0.17,127848.27,0.01
1922,North Canberra [Canberra],Australia,21.00,55457.70,High income,Australia and New Zealand,0.12,0.06,0.02,0.09,0.10,0.03,0.21,0.71,714785.33,0.03
1923,Simi Valley,United States,47.00,105845.66,High income,Northern America,0.08,0.05,0.00,0.02,0.00,0.01,0.10,0.30,969335.03,0.02
1924,Hermosillo,México,162.00,778882.36,Upper Middle,Latin America and the Caribbean,0.05,0.03,0.00,0.00,0.00,0.01,0.03,0.13,3463743.88,0.02
1925,Chimaltenango,Guatemala,24.00,181905.76,Upper Middle,Latin America and the Caribbean,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,252021.72,0.01
1926,Quinindé,Ecuador,6.00,58361.48,Upper Middle,Latin America and the Caribbean,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.03,87098.49,0.01
1927,Moyobamba,Peru,11.00,87055.48,Upper Middle,Latin America and the Caribbean,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,131331.59,0.01
1928,Timberlea,Canada,17.00,55193.12,High income,Northern America,0.05,0.01,0.02,0.00,0.00,0.00,0.00,0.09,264261.64,0.02
1929,Apartadó,Colombia,12.00,226447.89,Upper Middle,Latin America and the Caribbean,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.03,175452.18,0.01
1930,Las Tunas,Cuba,27.00,188545.51,Upper Middle,Latin America and the Caribbean,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.05,409428.86,0.02
1931,Valera,Venezuela,33.00,144937.84,Upper Middle,Latin America and the Caribbean,0.03,0.01,0.00,0.00,0.00,0.01,0.00,0.06,275712.97,0.01
1932,Limbé,Haiti,6.00,76756.93,Lower Middle,Latin America and the Caribbean,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29720.51,0.00
1933,Salvaleón de Higüey,Dominican Republic,25.00,140438.03,Upper Middle,Latin America and the Caribbean,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.02,435228.78,0.02
1934,Penco,Chile,14.00,55335.31,High income,Latin America and the Caribbean,0.02,0.03,0.01,0.00,0.01,0.01,0.01,0.10,149831.27,0.01
1935,Santiago del Estero,Argentina,97.00,399038.67,Upper Middle,Latin America and the Caribbean,0.02,0.03,0.00,0.00,0.00,0.01,0.01,0.08,1600083.92,0.02
1936,Itaituba,Brazil,18.00,76341.92,Upper Middle,Latin America and the Caribbean,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,212138.09,0.01
1937,Richard-Toll,Senegal,15.00,80805.63,Lower Middle,Sub-Saharan Africa,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.02,180665.68,0.01
1938,Kankan,Guinea,48.00,287892.30,Lower Middle,Sub-Saharan Africa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,564663.92,0.01
1939,Ben Guerir,Morocco,12.00,97802.07,Lower Middle,Northern Africa and Western Asia,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.04,210375.18,0.02
1940,Gagnoa,Côte d'Ivoire,34.00,211572.31,Lower Middle,Sub-Saharan Africa,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.02,362041.69,0.01
1941,Mairena del Aljarafe,Spain,36.00,141830.39,High income,Europe,0.02,0.02,0.00,0.00,0.00,0.01,0.01,0.08,884766.32,0.02
1942,Mopti,Mali,9.00,66634.40,Low income,Sub-Saharan Africa,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,95287.97,0.01
1943,Cardiff,United Kingdom,113.00,388459.73,High income,Europe,0.03,0.04,0.00,0.00,0.00,0.01,0.04,0.14,2405751.92,0.02
1944,Ejura,Ghana,10.00,53163.81,Lower Middle,Sub-Saharan Africa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,110493.93,0.01
1945,Koupéla,Burkina Faso,15.00,62822.76,Low income,Sub-Saharan Africa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,91568.73,0.01
1946,Mascara,Algeria,22.00,147492.83,Lower Middle,Northern Africa and Western Asia,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.05,379953.23,0.02
1947,Poitiers,France,31.00,93031.67,High income,Europe,0.06,0.03,0.00,0.00,0.01,0.01,0.01,0.13,756780.64,0.02
1948,Vogan,Togo,8.00,57378.94,Low income,Sub-Saharan Africa,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,85379.95,0.01
1949,Porto-Novo,Benin,149.00,815039.90,Lower Middle,Sub-Saharan Africa,0.00,0.02,0.00,0.00,0.00,0.01,0.02,0.05,1993871.63,0.01
1950,Saki,Nigeria,61.00,392972.61,Lower Middle,Sub-Saharan Africa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,437175.12,0.01
1951,Utrecht,Netherlands,115.00,519237.08,High income,Europe,0.01,0.05,0.00,0.00,0.08,0.03,0.02,0.21,3632704.31,0.03
1952,Neuwied,Germany,29.00,60145.43,High income,Europe,0.07,0.03,0.00,0.00,0.01,0.01,0.00,0.14,520953.67,0.02
1953,Guidan Roumdji,Niger,7.00,53979.69,Low income,Sub-Saharan Africa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45345.35,0.01
1954,St. Gallen,Switzerland,17.00,69371.40,High income,Europe,0.04,0.02,0.00,0.00,0.00,0.01,0.00,0.08,470366.35,0.03
1955,Piacenza,Italy,29.00,95643.25,High income,Europe,0.06,0.03,0.00,0.00,0.01,0.01,0.00,0.12,550438.75,0.02
1956,Medenine,Tunisia,24.00,82429.11,Lower Middle,Northern Africa and Western Asia,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.02,385654.50,0.02
1957,Kumbo,Cameroon,24.00,125455.87,Lower Middle,Sub-Saharan Africa,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,198347.92,0.01
1958,Umeå,Sweden,30.00,64854.03,High income,Europe,0.01,0.01,0.00,0.00,0.00,0.01,0.00,0.04,828635.48,0.03
1959,Rumia,Poland,12.00,50531.27,High income,Europe,0.04,0.02,0.00,0.00,0.00,0.00,0.01,0.09,304142.11,0.03
1960,Sumbe,Angola,20.00,193656.49,Lower Middle,Sub-Saharan Africa,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.02,159970.86,0.01
1961,Maluku,Democratic Republic of the Congo,9.00,94833.71,Low income,Sub-Saharan Africa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90125.53,0.01
1963,Suceava,Romania,21.00,89152.47,High income,Europe,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03,260690.74,0.01
1964,Berdychiv,Ukraine,23.00,67099.47,Lower Middle,Europe,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.05,303021.27,0.01
1965,Kariega,South Africa,29.00,115933.96,Upper Middle,Sub-Saharan Africa,0.01,0.01,0.00,0.00,0.00,0.00,0.01,0.05,384960.86,0.01
1966,Didim,Turkey,12.00,51996.76,Upper Middle,Northern Africa and Western Asia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,232740.51,0.02
1968,Bryansk,Russia,27.00,131384.79,Upper Middle,Europe,0.02,0.04,0.00,0.00,0.00,0.00,0.02,0.09,472996.86,0.02
1969,Kabwe,Zambia,74.00,236405.34,Lower Middle,Sub-Saharan Africa,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.02,914503.02,0.01
1970,Sidi Salim,Egypt,19.00,88060.42,Lower Middle,Northern Africa and Western Asia,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.04,201852.74,0.01
1971,Modiin-Maccabim-Reut,Israel,25.00,302119.36,High income,Northern Africa and Western Asia,0.04,0.05,0.00,0.00,0.00,0.01,0.02,0.14,461131.62,0.02
1972,Al Kiswah,Syria,10.00,55760.36,Low income,Northern Africa and Western Asia,0.03,0.02,0.00,0.00,0.00,0.00,0.00,0.06,65411.37,0.01
1973,Tabora,Tanzania,43.00,199592.42,Lower Middle,Sub-Saharan Africa,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.03,722865.46,0.02
1974,Lugazi,Uganda,11.00,58866.57,Low income,Sub-Saharan Africa,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.03,78018.80,0.01
1975,Riwoto,South Sudan,50.00,432309.69,Low income,Sub-Saharan Africa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,97335.59,0.00
1976,Massinga,Mozambique,21.00,59267.01,Low income,Sub-Saharan Africa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,180805.47,0.01
1977,Bedele,Ethiopia,12.00,66650.23,Low income,Sub-Saharan Africa,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,63413.03,0.01
1978,Ongata Rongai,Kenya,19.00,144132.14,Lower Middle,Sub-Saharan Africa,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.03,208637.32,0.01
1979,Sharqat,Iraq,15.00,85171.54,Upper Middle,Northern Africa and Western Asia,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.02,167423.82,0.01
1980,Rafha,Saudi Arabia,17.00,51421.51,High income,Northern Africa and Western Asia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,286983.14,0.02
1981,Baneh,Iran,15.00,101732.75,Lower Middle,Central and Southern Asia,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.01,308114.61,0.02
1982,Masallı,Azerbaijan,20.00,61004.58,Upper Middle,Northern Africa and Western Asia,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.02,157536.04,0.01
1983,Al Mahabishah,Yemen,16.00,145231.97,Low income,Northern Africa and Western Asia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50897.88,0.00
1984,Hudur,Somalia,6.00,87186.82,Low income,Sub-Saharan Africa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36163.12,0.01
1985,Antananarivo,Madagascar,442.00,4255253.77,Low income,Sub-Saharan Africa,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.03,3340590.11,0.01
1986,Ekibastuz,Kazakhstan,25.00,114479.10,Upper Middle,Central and Southern Asia,0.12,0.02,0.00,0.00,0.00,0.00,0.00,0.16,376822.40,0.02
1987,Koson,Uzbekistan,27.00,101305.92,Lower Middle,Central and Southern Asia,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.02,286664.87,0.01
1988,Andkhoy,Afghanistan,43.00,153433.39,Low income,Central and Southern Asia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,262635.11,0.01
1989,Vakhsh,Tajikistan,19.00,75135.91,Lower Middle,Central and Southern Asia,0.02,0.01,0.00,0.00,0.00,0.01,0.00,0.05,104528.78,0.01
1990,Hub,Pakistan,18.00,95114.24,Lower Middle,Central and Southern Asia,0.03,0.02,0.00,0.00,0.00,0.00,0.01,0.07,169789.37,0.01
1991,Srinagar,India,168.00,1340177.15,Lower Middle,Central and Southern Asia,0.05,0.03,0.00,0.00,0.00,0.00,0.01,0.10,2056553.61,0.01
1992,Dushanzi,China,18.00,52694.22,Upper Middle,Eastern and South-Eastern Asia,0.07,0.02,0.00,0.00,0.00,0.00,0.00,0.11,136732.50,0.01
1993,Kalaiya,Nepal,11.00,56708.59,Lower Middle,Central and Southern Asia,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.03,102916.93,0.01
1994,Valaichchenai,Sri Lanka,10.00,55061.11,Lower Middle,Central and Southern Asia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,152618.00,0.02
1995,Bodorganj,Bangladesh,11.00,54900.98,Lower Middle,Central and Southern Asia,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.03,18866.08,0.00
1996,Kyaukpadaung,Myanmar,10.00,71804.06,Lower Middle,Eastern and South-Eastern Asia,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.02,146253.35,0.01
1997,Chumphon,Thailand,16.00,60255.18,Upper Middle,Eastern and South-Eastern Asia,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.03,250345.18,0.02
1998,Lubuk Pakam,Indonesia,16.00,82884.26,Upper Middle,Eastern and South-Eastern Asia,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.09,234378.16,0.01
1999,Hanoi,Vietnam,925.00,4965520.00,Lower Middle,Eastern and South-Eastern Asia,0.01,0.05,0.00,0.00,0.00,0.00,0.02,0.10,14189980.36,0.02
2000,Kampung Rinching Hulu,Malaysia,18.00,73031.33,Upper Middle,Eastern and South-Eastern Asia,0.04,0.04,0.00,0.00,0.00,0.00,0.04,0.13,321160.78,0.02
2001,Unsan,North Korea,6.00,79226.49,Low income,Eastern and South-Eastern Asia,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.02,27314.30,0.00
2002,Gunsan-si,South Korea,87.00,177646.51,High income,Eastern and South-Eastern Asia,0.00,0.02,0.00,0.00,0.00,0.01,0.01,0.05,790300.68,0.01
2003,Pingtung City,Taiwan,45.00,168476.71,High income,Eastern and South-Eastern Asia,0.05,0.04,0.00,0.00,0.00,0.01,0.05,0.17,778164.70,0.02
2004,Muroran,Japan,61.00,94643.54,High income,Eastern and South-Eastern Asia,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.03,820825.46,0.01
2005,Angeles,Philippines,308.00,1513047.47,Lower Middle,Eastern and South-Eastern Asia,0.04,0.03,0.00,0.00,0.03,0.01,0.01,0.14,4213333.03,0.01
2006,Wollongong,Australia,108.00,149057.15,High income,Australia and New Zealand,0.10,0.05,0.07,0.02,0.03,0.01,0.05,0.36,1483277.16,0.01
2007,Los Angeles,United States,4498.00,13474332.62,High income,Northern America,0.14,0.14,0.00,0.02,0.02,0.04,0.16,0.58,97438130.29,0.02
2008,Ciudad Obregón,México,65.00,330236.56,Upper Middle,Latin America and the Caribbean,0.04,0.03,0.00,0.00,0.00,0.00,0.01,0.08,1248733.86,0.02
2009,Antigua Guatemala,Guatemala,25.00,107276.47,Upper Middle,Latin America and the Caribbean,0.01,0.03,0.00,0.00,0.00,0.02,0.01,0.09,305286.11,0.01
2010,Quevedo,Ecuador,33.00,187211.21,Upper Middle,Latin America and the Caribbean,0.01,0.01,0.00,0.00,0.00,0.01,0.02,0.05,529271.86,0.02
2011,Huaral,Peru,10.00,68032.12,Upper Middle,Latin America and the Caribbean,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.02,164928.86,0.02
2012,Tuluá,Colombia,20.00,245274.82,Upper Middle,Latin America and the Caribbean,0.01,0.02,0.00,0.00,0.00,0.01,0.02,0.06,372005.97,0.02
2013,Winnipeg,Canada,287.00,752807.65,High income,Northern America,0.07,0.07,0.00,0.01,0.02,0.02,0.04,0.26,8445748.09,0.03
2014,Bayamo,Cuba,19.00,201288.20,Upper Middle,Latin America and the Caribbean,0.02,0.01,0.00,0.00,0.00,0.00,0.01,0.04,282302.65,0.01
2015,Barinas,Venezuela,70.00,323816.51,Upper Middle,Latin America and the Caribbean,0.01,0.02,0.00,0.00,0.00,0.01,0.01,0.06,1050390.36,0.02
2016,Mirebalais,Haiti,7.00,56736.12,Lower Middle,Latin America and the Caribbean,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03,46729.91,0.01
2017,Chiguayante,Chile,18.00,142020.56,High income,Latin America and the Caribbean,0.04,0.04,0.00,0.00,0.01,0.01,0.01,0.11,239645.64,0.01
2018,San Luis,Argentina,42.00,188276.13,Upper Middle,Latin America and the Caribbean,0.02,0.04,0.00,0.00,0.00,0.00,0.01,0.07,800544.37,0.02
2019,Corumbá,Brazil,36.00,124051.40,Upper Middle,Latin America and the Caribbean,0.01,0.03,0.00,0.00,0.02,0.00,0.00,0.07,396470.60,0.01
2020,Kaffrine,Senegal,12.00,94450.60,Lower Middle,Sub-Saharan Africa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,204394.66,0.02
2021,Banankoro,Guinea,8.00,78514.85,Lower Middle,Sub-Saharan Africa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63009.98,0.01
2022,Dar Bouazza,Morocco,32.00,80979.76,Lower Middle,Northern Africa and Western Asia,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,303265.75,0.01
2023,Sinfra,Côte d'Ivoire,15.00,120618.45,Lower Middle,Sub-Saharan Africa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,196924.86,0.01
2024,Seville,Spain,80.00,696192.62,High income,Europe,0.05,0.04,0.00,0.00,0.00,0.01,0.02,0.14,2101067.44,0.03
2025,Sévaré,Mali,22.00,144436.73,Low income,Sub-Saharan Africa,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,228310.20,0.01
2026,Dunfermline,United Kingdom,25.00,56093.81,High income,Europe,0.07,0.04,0.00,0.00,0.02,0.01,0.02,0.17,514697.71,0.02
2027,Elmina,Ghana,14.00,56265.08,Lower Middle,Sub-Saharan Africa,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.04,74293.11,0.01
2028,Dori,Burkina Faso,11.00,61563.10,Low income,Sub-Saharan Africa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,117615.14,0.01
2029,Saida,Algeria,26.00,191802.57,Lower Middle,Northern Africa and Western Asia,0.03,0.02,0.00,0.00,0.00,0.00,0.00,0.06,381326.05,0.01
2030,Tours,France,80.00,223833.96,High income,Europe,0.03,0.04,0.00,0.00,0.01,0.01,0.01,0.12,2117283.17,0.03
2031,Parakou,Benin,79.00,392540.72,Lower Middle,Sub-Saharan Africa,0.01,0.01,0.00,0.00,0.00,0.00,0.01,0.03,1074492.64,0.01
2032,Magboro,Nigeria,81.00,264612.66,Lower Middle,Sub-Saharan Africa,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.04,1009816.44,0.01
2033,Tilburg,Netherlands,62.00,206798.09,High income,Europe,0.02,0.02,0.00,0.00,0.03,0.01,0.00,0.10,1735117.86,0.03
2034,Münster,Germany,76.00,269164.02,High income,Europe,0.05,0.04,0.00,0.00,0.03,0.02,0.02,0.18,1996425.07,0.03
2035,Dakoro,Niger,9.00,113322.20,Low income,Sub-Saharan Africa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80407.29,0.01
2036,La Spezia,Italy,27.00,87708.69,High income,Europe,0.04,0.02,0.00,0.00,0.00,0.00,0.00,0.07,369947.69,0.01
2037,Tataouine,Tunisia,16.00,62686.45,Lower Middle,Northern Africa and Western Asia,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.02,240368.75,0.02
2038,Foumban,Cameroon,24.00,174723.82,Lower Middle,Sub-Saharan Africa,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,296786.56,0.01
2039,Gdynia,Poland,59.00,216994.29,High income,Europe,0.02,0.02,0.00,0.00,0.00,0.01,0.01,0.07,1565498.66,0.03
2040,Chingo,Angola,20.00,97605.53,Lower Middle,Sub-Saharan Africa,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.02,202227.59,0.01
2041,Kasongo-Lunda,Democratic Republic of the Congo,5.00,50199.27,Low income,Sub-Saharan Africa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10792.05,0.00
2042,Bitkine,Chad,7.00,92111.61,Low income,Sub-Saharan Africa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47570.08,0.01
2043,Târgoviște,Romania,17.00,65785.59,High income,Europe,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.04,251173.06,0.01
2044,Vinnytsia,Ukraine,69.00,355789.14,Lower Middle,Europe,0.07,0.01,0.00,0.00,0.00,0.01,0.01,0.12,1352033.24,0.02
2045,Gqeberha,South Africa,217.00,806318.70,Upper Middle,Sub-Saharan Africa,0.02,0.03,0.00,0.00,0.01,0.00,0.02,0.10,3033332.71,0.01
2046,Silivri,Turkey,14.00,54801.15,Upper Middle,Northern Africa and Western Asia,0.02,0.01,0.00,0.00,0.01,0.00,0.00,0.05,210502.06,0.02
2047,Nyala,Sudan,104.00,1038790.41,Low income,Northern Africa and Western Asia,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,2050174.70,0.02
2048,Фосфоритный,Russia,16.00,81653.73,Upper Middle,Europe,0.02,0.04,0.00,0.00,0.00,0.00,0.02,0.09,233392.52,0.01
2049,Luanshya,Zambia,40.00,106792.73,Lower Middle,Sub-Saharan Africa,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.03,435204.42,0.01
2050,Kom Hamada,Egypt,13.00,111986.22,Lower Middle,Northern Africa and Western Asia,0.06,0.02,0.00,0.00,0.00,0.00,0.00,0.09,171720.79,0.01
2051,Umm al-Fahm,Israel,13.00,61674.14,High income,Northern Africa and Western Asia,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.05,115779.63,0.01
2052,Hama,Syria,45.00,300945.36,Low income,Northern Africa and Western Asia,0.06,0.01,0.00,0.00,0.00,0.00,0.00,0.09,677241.24,0.02
2053,Mwanza,Tanzania,175.00,977475.34,Lower Middle,Sub-Saharan Africa,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.02,2029308.76,0.01
2054,Njeru,Uganda,8.00,56562.96,Low income,Sub-Saharan Africa,0.03,0.02,0.00,0.00,0.00,0.00,0.00,0.05,54087.15,0.01
2056,Zóbue,Mozambique,8.00,81375.41,Low income,Sub-Saharan Africa,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,57381.01,0.01
2057,Naqamte,Ethiopia,32.00,217687.36,Low income,Sub-Saharan Africa,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.03,278948.75,0.01
2058,Kiambu,Kenya,24.00,77140.94,Lower Middle,Sub-Saharan Africa,0.04,0.06,0.00,0.00,0.00,0.02,0.05,0.20,208220.46,0.01
2059,Bardarash,Iraq,8.00,61287.82,Upper Middle,Northern Africa and Western Asia,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.02,110367.17,0.01
2060,Bukan,Iran,25.00,166212.13,Lower Middle,Central and Southern Asia,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.03,474197.56,0.02
2061,Bishah,Saudi Arabia,15.00,57725.08,High income,Northern Africa and Western Asia,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.04,239630.96,0.02
2062,Sumgayit,Azerbaijan,145.00,637053.02,Upper Middle,Northern Africa and Western Asia,0.04,0.03,0.00,0.00,0.00,0.00,0.00,0.09,1786975.60,0.01
2063,Al Hidab,Yemen,6.00,59746.70,Low income,Northern Africa and Western Asia,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,29476.90,0.00
2064,Barawa,Somalia,8.00,98702.63,Low income,Sub-Saharan Africa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90441.35,0.01
2065,Hell-Ville,Madagascar,11.00,67988.55,Low income,Sub-Saharan Africa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64249.82,0.01
2066,Turkestan,Kazakhstan,71.00,213680.49,Upper Middle,Central and Southern Asia,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.02,909688.38,0.01
2067,Payshanba,Uzbekistan,25.00,74957.52,Lower Middle,Central and Southern Asia,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,214427.94,0.01
2068,Bai Ghesi,Afghanistan,15.00,138024.58,Low income,Central and Southern Asia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9379.51,0.00
2069,Батрабат,Tajikistan,14.00,78367.39,Lower Middle,Central and Southern Asia,0.02,0.01,0.00,0.00,0.00,0.01,0.00,0.05,34866.09,0.00
2070,Usta Muhammad,Pakistan,10.00,69614.50,Lower Middle,Central and Southern Asia,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,76110.23,0.01
2071,Sikka,India,23.00,94949.05,Lower Middle,Central and Southern Asia,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.03,146845.09,0.01
2072,Kuqa,China,48.00,158060.23,Upper Middle,Eastern and South-Eastern Asia,0.08,0.01,0.00,0.00,0.00,0.00,0.00,0.10,236022.80,0.00
2073,Baidehi,Nepal,5.00,98958.64,Lower Middle,Central and Southern Asia,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.02,9373.91,0.00
2074,Batticaloa,Sri Lanka,56.00,139380.14,Lower Middle,Central and Southern Asia,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.03,558441.16,0.01
